new_10_Char,10 char .phy format name,Original fasta header,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study
AAAAAAABMY,993sp|P607,sp|P60775|3S1EA_LATSE Erabutoxin a OS=Laticauda semifasciata OX=8631 PE=1 SV=1,Erabutoxin a ,3FTx,Laticauda semifasciata ,Elapidae
AAAAAAABMZ,995sp|Q7T2,sp|Q7T2I5|3S1EC_LATSE Erabutoxin c OS=Laticauda semifasciata OX=8631 PE=1 SV=1,Erabutoxin c ,3FTx,Laticauda semifasciata ,Elapidae
AAAAAAABNA,997sp|Q90V,sp|Q90VW1|3S1EB_LATSE Erabutoxin b OS=Laticauda semifasciata OX=8631 PE=1 SV=1,Erabutoxin b ,3FTx,Laticauda semifasciata ,Elapidae
AAAAAAAAHF,347sp|A7X3,sp|A7X3R6|3NX1_LEIMD Toxin 3FTxLei1 OS=Leioheterodon madagascariensis OX=46577 PE=3 SV=1,Toxin 3FTxLei1 ,3FTx,Leioheterodon madagascariensis ,Pseudoxyrhophiidae
AAAAAAAAGJ,Leioheterodon_madagascariensis_A7X3R6,Leioheterodon_madagascariensis_A7X3R6,-,3FTx,Leioheterodon madagascariensis ,Pseudoxyrhophiidae
AAAAAAAAGP,Malpolon_monspessulanus_unigene50403,Malpolon_monspessulanus_unigene50403,-,3FTx,Malpolon monspessulanus ,Psammophiidae
AAAAAAAAQW,1453Micrur,Micrurus_altirostris_F5CPD2,-,3FTx,Micrurus altirostris,Elapidae
AAAAAAAATX,1597Micrur,Micrurus_altirostris_AED89572,-,3FTx,Micrurus altirostris,Elapidae
AAAAAAAAVA,1647Micrur,Micrurus_altirostris_F5CPD1,-,3FTx,Micrurus altirostris,Elapidae
AAAAAAAAAU,Micrurus_altirostris_F5CPD4,Micrurus_altirostris_F5CPD4,-,3FTx,Micrurus altirostris,Elapidae
AAAAAAAAHX,1033sp|F5C,sp|F5CPD8|3S157_MICAT Three finger toxin MALT0057C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Three finger toxin MALT0057C ,3FTx,Micrurus altirostris ,Elapidae
AAAAAAAAIA,1039sp|F5C,sp|F5CPD5|3S151_MICAT Three finger toxin MALT0051C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Three finger toxin MALT0051C ,3FTx,Micrurus altirostris ,Elapidae
AAAAAAAAJK,1103sp|F5C,sp|F5CPE2|3SX3_MICAT Threefinger toxin MALT0063C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Threefinger toxin MALT0063C ,3FTx,Micrurus altirostris ,Elapidae
AAAAAAAAJL,1105sp|F5C,sp|F5CPE0|3SX9_MICAT Threefinger toxin MALT0059C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Threefinger toxin MALT0059C ,3FTx,Micrurus altirostris ,Elapidae
AAAAAAAAYT,317sp|F5CP,sp|F5CPD3|3SX4_MICAT Threefinger toxin MALT0044C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Threefinger toxin MALT0044C ,3FTx,Micrurus altirostris ,Elapidae
AAAAAAAAZM,361sp|F5CP,sp|F5CPE6|3SX0_MICAT Threefinger toxin MALT0070C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Threefinger toxin MALT0070C ,3FTx,Micrurus altirostris ,Elapidae
AAAAAAAAZP,367sp|F5CP,sp|F5CPE3|3SX5_MICAT Threefinger toxin MALT0065C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Threefinger toxin MALT0065C ,3FTx,Micrurus altirostris ,Elapidae
AAAAAAABKW,895sp|F5CP,sp|F5CPE4|3S166_MICAT Three finger toxin MALT0066C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Three finger toxin MALT0066C ,3FTx,Micrurus altirostris ,Elapidae
AAAAAAABKX,897sp|F5CP,sp|F5CPD7|3S154_MICAT Three finger toxin MALT0054C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Three finger toxin MALT0054C ,3FTx,Micrurus altirostris ,Elapidae
AAAAAAABKY,899sp|F5CP,sp|F5CPD6|3S152_MICAT Three finger toxin MALT0052C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Three finger toxin MALT0052C ,3FTx,Micrurus altirostris ,Elapidae
AAAAAAABLA,901sp|F5CP,sp|F5CPD9|3S158_MICAT Three finger toxin MALT0058C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Three finger toxin MALT0058C ,3FTx,Micrurus altirostris ,Elapidae
AAAAAAAAPZ,1411Micrur,Micrurus_browni_A0A0H4IRA8,-,3FTx,Micrurus browni,Elapidae
AAAAAAAAQA,1413Micrur,Micrurus_browni_A0A0H4IUN8,-,3FTx,Micrurus browni,Elapidae
AAAAAAAAQX,1455Micrur,Micrurus_browni_A0A0H4J512,-,3FTx,Micrurus browni,Elapidae
AAAAAAAAQZ,1459Micrur,Micrurus_browni_A0A0H4IVP7,-,3FTx,Micrurus browni,Elapidae
AAAAAAAASJ,1523Micrur,Micrurus_browni_A0A0H4BJD8,-,3FTx,Micrurus browni,Elapidae
AAAAAAAASV,1545Micrur,Micrurus_browni_A0A0H4IS74,-,3FTx,Micrurus browni,Elapidae
AAAAAAAAVD,1653Micrur,Micrurus_browni_A0A0H4BEG5,-,3FTx,Micrurus browni,Elapidae
AAAAAAAAVK,1665Micrur,Micrurus_browni_A0A0H4BLZ7,-,3FTx,Micrurus browni,Elapidae
AAAAAAAAYR,313sp|C0HK,sp|C0HK04|3SX1_MICCK Clarkitoxin1 OS=Micrurus clarki OX=1817999 PE=1 SV=1,Clarkitoxin1 ,3FTx,Micrurus clarki ,Elapidae
AAAAAAAASW,1547Micrur,Micrurus_corallinus_C6JUP4,-,3FTx,Micrurus corallinus,Elapidae
AAAAAAAATF,1563Micrur,Micrurus_corallinus_C6JUP5,-,3FTx,Micrurus corallinus,Elapidae
AAAAAAAAVE,1655Micrur,Micrurus_corallinus_C6JUP0,-,3FTx,Micrurus corallinus,Elapidae
AAAAAAABKJ,871sp|P583,sp|P58370|3NO48_MICCO Alphaneurotoxin homolog 8 OS=Micrurus corallinus OX=54390 PE=1 SV=1,Alphaneurotoxin homolog 8 ,3FTx,Micrurus corallinus ,Elapidae
AAAAAAAAJN,1109sp|C6J,sp|C6JUP1|3SX1_MICCO Threefinger toxin 3FTx1 OS=Micrurus corallinus OX=54390 PE=1 SV=1,Threefinger toxin 3FTx1 ,3FTx,Micrurus corallinus ,Elapidae
AAAAAAAAYU,319sp|C6JU,sp|C6JUP2|3NO22_MICCO Threefinger toxin 3FTx2 OS=Micrurus corallinus OX=54390 PE=1 SV=1,Threefinger toxin 3FTx2 ,3FTx,Micrurus corallinus ,Elapidae
AAAAAAAAZK,359sp|C6JU,sp|C6JUP3|3SX3_MICCO Threefinger toxin MicTx3 OS=Micrurus corallinus OX=54390 PE=1 SV=1,Threefinger toxin MicTx3 ,3FTx,Micrurus corallinus ,Elapidae
AAAAAAAAZN,363sp|Q9PU,sp|Q9PUB7|3SOC1_MICCO Alphaneurotoxin homolog 1 OS=Micrurus corallinus OX=54390 PE=1 SV=1,Alphaneurotoxin homolog 1 ,3FTx,Micrurus corallinus ,Elapidae
AAAAAAAAZO,365sp|Q9PR,sp|Q9PRI1|3SOC7_MICCO Alphaneurotoxin homolog 7 OS=Micrurus corallinus OX=54390 PE=1 SV=1,Alphaneurotoxin homolog 7 ,3FTx,Micrurus corallinus ,Elapidae
AAAAAAAACX,Micrurus_corallinus_P58370,Micrurus_corallinus_P58370,-,3FTx,Micrurus corallinus ,Elapidae
AAAAAAAAQB,1415Micrur,Micrurus_diastema_A0A0H4BKJ5,-,3FTx,Micrurus diastema,Elapidae
AAAAAAAAQD,1419Micrur,Micrurus_diastema_A0A0H4BEG1,-,3FTx,Micrurus diastema,Elapidae
AAAAAAAARB,1461Micrur,Micrurus_diastema_A0A0G3YJD1,-,3FTx,Micrurus diastema,Elapidae
AAAAAAAASG,1519Micrur,Micrurus_diastema_A0A0H4BFQ4,-,3FTx,Micrurus diastema,Elapidae
AAAAAAAASI,1521Micrur,Micrurus_diastema_A0A0H4BLZ2,-,3FTx,Micrurus diastema,Elapidae
AAAAAAAAVL,1667Micrur,Micrurus_diastema_A0A0H4BEF7,-,3FTx,Micrurus diastema,Elapidae
AAAAAAAAYS,315sp|C0HL,sp|C0HLK5|3SX1_MICDM ClarkitoxinIMdum OS=Micrurus dumerilii OX=1337871 PE=1 SV=1,ClarkitoxinIMdum ,3FTx,Micrurus dumerilii ,Elapidae
AAAAAAAAQY,1457Micrur,Micrurus_frontalis_P86420,-,3FTx,Micrurus frontalis,Elapidae
AAAAAAAAAN,Micrurus_frontalis_P86424,Micrurus_frontalis_P86424,-,3FTx,Micrurus frontalis,Elapidae
AAAAAAAAJM,1107sp|P86,sp|P86421|3SX2_MICFR Frontoxin II OS=Micrurus frontalis OX=129461 PE=1 SV=1,Frontoxin II ,3FTx,Micrurus frontalis ,Elapidae
AAAAAAAAJV,1123sp|P86,sp|P86422|3S13_MICFR Frontoxin III OS=Micrurus frontalis OX=129461 PE=1 SV=1,Frontoxin III ,3FTx,Micrurus frontalis ,Elapidae
AAAAAAABKK,873sp|P864,sp|P86423|3NX4_MICFR Frontoxin IV OS=Micrurus frontalis OX=129461 PE=1 SV=1,Frontoxin IV ,3FTx,Micrurus frontalis ,Elapidae
AAAAAAABKP,881sp|P864,sp|P86424|3NX5_MICFR Frontoxin V OS=Micrurus frontalis OX=129461 PE=1 SV=1,Frontoxin V ,3FTx,Micrurus frontalis ,Elapidae
AAAAAAAAQC,1417Micrur,Micrurus_fulvius_U3FAF0,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAAQG,1423Micrur,Micrurus_fulvius_U3F5D3,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAAQH,1425Micrur,Micrurus_fulvius_A0A0F7Z3S7,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAAQI,1427Micrur,Micrurus_fulvius_U3EPM4,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAAQK,1431Micrur,Micrurus_fulvius_U3FAE7,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAAQU,1449Micrur,Micrurus_fulvius_U3F5E9,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAASM,1529Micrur,Micrurus_fulvius_U3FVG5,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAASN,1531Micrur,Micrurus_fulvius_U3FAC0,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAASP,1535Micrur,Micrurus_fulvius_U3F5B5,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAASQ,1537Micrur,Micrurus_fulvius_U3FVG7,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAAST,1541Micrur,Micrurus_fulvius_U3FYQ0,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAASU,1543Micrur,Micrurus_fulvius_U3EPI1,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAASY,1551Micrur,Micrurus_fulvius_U3FYR0,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAATA,1555Micrur,Micrurus_fulvius_U3FVI0,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAATB,1557Micrur,Micrurus_fulvius_U3EPL9,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAATC,1559Micrur,Micrurus_fulvius_U3FYQ7,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAATH,1567Micrur,Micrurus_fulvius_U3FYQ5,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAATI,1569Micrur,Micrurus_fulvius_U3FVI5,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAATL,1575Micrur,Micrurus_fulvius_A0A0F7YZP6,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAATY,1599Micrur,Micrurus_fulvius_JAS05071,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAAVG,1659Micrur,Micrurus_fulvius_U3FVH8,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAAVJ,1663Micrur,Micrurus_fulvius_U3FYQ9,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAAAV,Micrurus_fulvius_U3FVH6,Micrurus_fulvius_U3FVH6,-,3FTx,Micrurus fulvius,Elapidae
AAAAAAAAJO,1111sp|U3E,sp|U3EPL2|3SXB_MICFL Threefinger toxin 3b OS=Micrurus fulvius OX=8637 PE=3 SV=1,Threefinger toxin 3b ,3FTx,Micrurus fulvius ,Elapidae
AAAAAAAAYN,305sp|U3FA,sp|U3FAE1|3SXA_MICFL Fulditoxin OS=Micrurus fulvius OX=8637 PE=1 SV=1,Fulditoxin ,3FTx,Micrurus fulvius ,Elapidae
AAAAAAAAQT,1447Micrur,Micrurus_laticollaris_A0A0G3YLL2,-,3FTx,Micrurus laticollaris,Elapidae
AAAAAAAASK,1525Micrur,Micrurus_laticollaris_A0A0H4BJD1,-,3FTx,Micrurus laticollaris,Elapidae
AAAAAAAASL,1527Micrur,Micrurus_laticollaris_A0A0H4BLY9,-,3FTx,Micrurus laticollaris,Elapidae
AAAAAAAATJ,1571Micrur,Micrurus_laticollaris_A0A0H4BKI7,-,3FTx,Micrurus laticollaris,Elapidae
AAAAAAAATK,1573Micrur,Micrurus_laticollaris_A0A0H4BFP9,-,3FTx,Micrurus laticollaris,Elapidae
AAAAAAAAHY,1035sp|K9M,sp|K9MCH1|3S11_MICLL Threefinger toxin A1 OS=Micrurus laticollaris OX=1240351 PE=1 SV=1,Threefinger toxin A1 ,3FTx,Micrurus laticollaris ,Elapidae
AAAAAAAAJJ,1101sp|K9M,sp|K9MCX0|3SX2_MICLL Threefinger toxin A2 OS=Micrurus laticollaris OX=1240351 PE=3 SV=1,Threefinger toxin A2 ,3FTx,Micrurus laticollaris ,Elapidae
AAAAAAAAJG,1097sp|A0A,sp|A0A2P1BSU3|3SX3_MICMP Mipartoxin3 OS=Micrurus mipartitus OX=430902 PE=2 SV=1,Mipartoxin3 ,3FTx,Micrurus mipartitus ,Elapidae
AAAAAAAAJP,1113sp|B3E,sp|B3EWF8|3SX1_MICMP Mipartoxin1 OS=Micrurus mipartitus OX=430902 PE=1 SV=2,Mipartoxin1 ,3FTx,Micrurus mipartitus ,Elapidae
AAAAAAAAJQ,1115sp|A0A,sp|A0A2P1BST7|3SX1A_MICMP Mipartoxin1A OS=Micrurus mipartitus OX=430902 PE=2 SV=1,Mipartoxin1A ,3FTx,Micrurus mipartitus ,Elapidae
AAAAAAAAJR,1117sp|A0A,sp|A0A2P1BSS9|3SX2_MICMP Mipartoxin2 OS=Micrurus mipartitus OX=430902 PE=2 SV=1,Mipartoxin2 ,3FTx,Micrurus mipartitus ,Elapidae
AAAAAAABKB,857sp|A0A2,sp|A0A2P1BSS8|3SX4_MICMP Mipartoxin4 OS=Micrurus mipartitus OX=430902 PE=2 SV=1,Mipartoxin4 ,3FTx,Micrurus mipartitus ,Elapidae
AAAAAAABKL,875sp|C0HJ,sp|C0HJR2|3NX2_MICMP Micrurotoxin 2 OS=Micrurus mipartitus OX=430902 PE=1 SV=1,Micrurotoxin 2 ,3FTx,Micrurus mipartitus ,Elapidae
AAAAAAABKM,877sp|C0HJ,sp|C0HJR1|3NX1_MICMP Micrurotoxin 1 OS=Micrurus mipartitus OX=430902 PE=1 SV=1,Micrurotoxin 1 ,3FTx,Micrurus mipartitus ,Elapidae
AAAAAAAAAL,Micrurus_mipartitus_C0HJR2,Micrurus_mipartitus_C0HJR2,-,3FTx,Micrurus mipartitus ,Elapidae
AAAAAAAAHW,1031sp|P80,sp|P80548|3S11_MICNI Threefinger toxin Mnn I OS=Micrurus nigrocinctus OX=8635 PE=1 SV=1,Threefinger toxin Mnn I ,3FTx,Micrurus nigrocinctus ,Elapidae
AAAAAAAAHZ,1037sp|P0C,sp|P0CAR1|3S1D1_MICPY Short neurotoxin D1 OS=Micrurus pyrrhocryptus OX=129468 PE=1 SV=1,Short neurotoxin D1 ,3FTx,Micrurus pyrrhocryptus ,Elapidae
AAAAAAAAIC,1041sp|P86,sp|P86095|3S11_MICSU Threefinger toxin MS1 OS=Micrurus surinamensis OX=129470 PE=1 SV=1,Threefinger toxin MS1 ,3FTx,Micrurus surinamensis ,Elapidae
AAAAAAAAJH,1099sp|P86,sp|P86094|3SX_MICSU Short neurotoxin MS11 OS=Micrurus surinamensis OX=129470 PE=1 SV=1,Short neurotoxin MS11 ,3FTx,Micrurus surinamensis ,Elapidae
AAAAAAABKN,879sp|P860,sp|P86099|3NX5_MICSU Long neurotoxin MS5 OS=Micrurus surinamensis OX=129470 PE=1 SV=1,Long neurotoxin MS5 ,3FTx,Micrurus surinamensis ,Elapidae
AAAAAAABKQ,883sp|P860,sp|P86098|3NX4_MICSU Long neurotoxin MS4 OS=Micrurus surinamensis OX=129470 PE=1 SV=1,Long neurotoxin MS4 ,3FTx,Micrurus surinamensis ,Elapidae
AAAAAAABKR,885sp|P860,sp|P86096|3NX2_MICSU Long neurotoxin MS2 OS=Micrurus surinamensis OX=129470 PE=1 SV=1,Long neurotoxin MS2 ,3FTx,Micrurus surinamensis ,Elapidae
AAAAAAABKS,887sp|P860,sp|P86097|3S13_MICSU Threefinger toxin MS3 OS=Micrurus surinamensis OX=129470 PE=1 SV=1,Threefinger toxin MS3 ,3FTx,Micrurus surinamensis ,Elapidae
AAAAAAAAAM,Micrurus_surinamensis_P86096,Micrurus_surinamensis_P86096,-,3FTx,Micrurus surinamensis ,Elapidae
AAAAAAAAVB,1649Micrur,Micrurus_tener_A0A194ATD7,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAPX,1407Micrur,Micrurus_tener_A0A194ARK8,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAPY,1409Micrur,Micrurus_tener_A0A194ATD1,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAQF,1421Micrur,Micrurus_tener_A0A194APE1,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAQJ,1429Micrur,Micrurus_tener_A0A0H4IVQ6,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAQL,1433Micrur,Micrurus_tener_A0A0H4IRB3,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAQM,1435Micrur,Micrurus_tener_A0A194ARB2,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAQN,1437Micrur,Micrurus_tener_A0A194ATA3,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAQO,1439Micrur,Micrurus_tener_A0A194ARH7,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAQQ,1441Micrur,Micrurus_tener_A0A194ATA6,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAQR,1443Micrur,Micrurus_tener_A0A194ASD1,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAQS,1445Micrur,Micrurus_tener_A0A194APG0,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAQV,1451Micrur,Micrurus_tener_A0A194ASE2,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAARC,1463Micrur,Micrurus_tener_A0A194ASE0,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAARD,1465Micrur,Micrurus_tener_A0A194ATB0,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAASO,1533Micrur,Micrurus_tener_A0A194AT81,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAASR,1539Micrur,Micrurus_tener_A0A194APB1,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAASX,1549Micrur,Micrurus_tener_A0A194ASE3,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAASZ,1553Micrur,Micrurus_tener_A0A0H4J521,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATE,1561Micrur,Micrurus_tener_A0A194ARJ0,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATG,1565Micrur,Micrurus_tener_A0A194ARC5,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATM,1577Micrur,Micrurus_tener_A0A194ATC0,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATN,1579Micrur,Micrurus_tener_A0A194APG5,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATP,1581Micrur,Micrurus_tener_A0A194ASE5,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATQ,1583Micrur,Micrurus_tener_A0A194ARJ5,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATR,1585Micrur,Micrurus_tener_A0A194ATC3,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATS,1587Micrur,Micrurus_tener_A0A194APH0,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATT,1589Micrur,Micrurus_tener_A0A194ATB5,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATU,1591Micrur,Micrurus_tener_A0A194APH5,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATV,1593Micrur,Micrurus_tener_A0A194ARC1,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAATW,1595Micrur,Micrurus_tener_A0A194ARK4,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAUB,1601Micrur,Micrurus_tener_JAS05188,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAVC,1651Micrur,Micrurus_tener_A0A194API9,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAVF,1657Micrur,Micrurus_tener_A0A0H4IUP1,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAVI,1661Micrur,Micrurus_tener_JAS05190,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAVM,1669Micrur,Micrurus_tener_A0A0H4IS80,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAAAVN,1671Micrur,Micrurus_tener_A0A194ASF5,-,3FTx,Micrurus_ tener,Elapidae
AAAAAAABIC,767sp|P013,sp|P01389|3L21_NAJAC Long neurotoxin 1 OS=Naja anchietae OX=263737 PE=1 SV=1,Long neurotoxin 1 ,3FTx,Naja anchietae ,Elapidae
AAAAAAAAIE,1045sp|P34,sp|P34075|3S11_NAJAN Short neurotoxin 1 OS=Naja annulata annulata OX=8610 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Naja annulata annulata ,Elapidae
AAAAAAABIB,765sp|P340,sp|P34074|3L221_NAJAN Long neurotoxin 1 OS=Naja annulata annulata OX=8610 PE=1 SV=2,Long neurotoxin 1 ,3FTx,Naja annulata annulata ,Elapidae
AAAAAAAAHU,1027sp|P01,sp|P01421|3S14_NAJHA Short neurotoxin 4 OS=Naja annulifera OX=96794 PE=1 SV=1,Short neurotoxin 4 ,3FTx,Naja annulifera ,Elapidae
AAAAAAAAHV,1029sp|P01,sp|P01420|3S13_NAJHA Short neurotoxin 3 OS=Naja annulifera OX=96794 PE=1 SV=1,Short neurotoxin 3 ,3FTx,Naja annulifera ,Elapidae
AAAAAAAAIU,1075sp|P01,sp|P01422|3S12_NAJHA Short neurotoxin 2 OS=Naja annulifera OX=96794 PE=1 SV=1,Short neurotoxin 2 ,3FTx,Naja annulifera ,Elapidae
AAAAAAAAIY,1081sp|P68,sp|P68417|3S11_NAJHA Short neurotoxin 1 OS=Naja annulifera OX=96794 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Naja annulifera ,Elapidae
AAAAAAAALF,1189sp|P25,sp|P25678|3SOK2_NAJHA Weak toxin CM2a OS=Naja annulifera OX=96794 PE=1 SV=1,Weak toxin CM2a ,3FTx,Naja annulifera ,Elapidae
AAAAAAAALG,1191sp|P25,sp|P25677|3SOK3_NAJHA Weak toxin CM3 OS=Naja annulifera OX=96794 PE=1 SV=1,Weak toxin CM3 ,3FTx,Naja annulifera ,Elapidae
AAAAAAAAZY,383sp|P623,sp|P62390|3SOFB_NAJHA Cytotoxin 11 OS=Naja annulifera OX=96794 PE=1 SV=1,Cytotoxin 11 ,3FTx,Naja annulifera ,Elapidae
AAAAAAABDA,527sp|P014,sp|P01464|3SA5_NAJHA Cytotoxin 5 OS=Naja annulifera OX=96794 PE=1 SV=1,Cytotoxin 5 ,3FTx,Naja annulifera ,Elapidae
AAAAAAABDB,529sp|P014,sp|P01462|3SA2_NAJHA Cytotoxin 2 OS=Naja annulifera OX=96794 PE=1 SV=1,Cytotoxin 2 ,3FTx,Naja annulifera ,Elapidae
AAAAAAABDC,531sp|P014,sp|P01466|3SA7_NAJHA Cytotoxin 7 OS=Naja annulifera OX=96794 PE=1 SV=1,Cytotoxin 7 ,3FTx,Naja annulifera ,Elapidae
AAAAAAABDD,533sp|P014,sp|P01465|3SA6_NAJHA Cytotoxin 6 OS=Naja annulifera OX=96794 PE=1 SV=1,Cytotoxin 6 ,3FTx,Naja annulifera ,Elapidae
AAAAAAABDF,537sp|P014,sp|P01455|3SA1_NAJHA Cytotoxin 1 OS=Naja annulifera OX=96794 PE=1 SV=1,Cytotoxin 1 ,3FTx,Naja annulifera ,Elapidae
AAAAAAABDJ,543sp|P014,sp|P01461|3SA4_NAJHA Cytotoxin 4 OS=Naja annulifera OX=96794 PE=1 SV=1,Cytotoxin 4 ,3FTx,Naja annulifera ,Elapidae
AAAAAAABDK,545sp|P014,sp|P01459|3SA3_NAJHA Cytotoxin 3 OS=Naja annulifera OX=96794 PE=1 SV=1,Cytotoxin 3 ,3FTx,Naja annulifera ,Elapidae
AAAAAAABDL,547sp|P014,sp|P01460|3SA8_NAJHA Cytotoxin 8 OS=Naja annulifera OX=96794 PE=1 SV=1,Cytotoxin 8 ,3FTx,Naja annulifera ,Elapidae
AAAAAAABDN,551sp|P014,sp|P01454|3SA9_NAJHA Cytotoxin 9 OS=Naja annulifera OX=96794 PE=1 SV=1,Cytotoxin 9 ,3FTx,Naja annulifera ,Elapidae
AAAAAAABDO,553sp|P014,sp|P01453|3SAA_NAJHA Cytotoxin 10 OS=Naja annulifera OX=96794 PE=1 SV=1,Cytotoxin 10 ,3FTx,Naja annulifera ,Elapidae
AAAAAAABFZ,667sp|P013,sp|P01399|3NO2D_NAJHA Weak toxin CM13b OS=Naja annulifera OX=96794 PE=1 SV=1,Weak toxin CM13b ,3FTx,Naja annulifera ,Elapidae
AAAAAAAAIL,1059sp|P60,sp|P60770|3S1CB_NAJAT Cobrotoxin OS=Naja atra OX=8656 PE=1 SV=1,Cobrotoxin ,3FTx,Naja atra ,Elapidae
AAAAAAAAJB,1087sp|P80,sp|P80958|3S1CC_NAJAT Cobrotoxinb OS=Naja atra OX=8656 PE=1 SV=2,Cobrotoxinb ,3FTx,Naja atra ,Elapidae
AAAAAAAAZS,373sp|Q8UU,sp|Q8UUK0|3SOF3_NAJAT Cytotoxin homolog Clbp3 OS=Naja atra OX=8656 PE=3 SV=1,Cytotoxin homolog Clbp3 ,3FTx,Naja atra ,Elapidae
AAAAAAAAZX,381sp|P491,sp|P49122|3SOF7_NAJAT Cytotoxin 7 OS=Naja atra OX=8656 PE=2 SV=1,Cytotoxin 7 ,3FTx,Naja atra ,Elapidae
AAAAAAABAA,387sp|P0DU,sp|P0DUK7|3SOF1_NAJAT MuelapitoxinNa1a OS=Naja atra OX=8656 PE=1 SV=1,MuelapitoxinNa1a ,3FTx,Naja atra ,Elapidae
AAAAAAABAB,389sp|Q911,sp|Q91137|3SOFL_NAJAT Cytotoxin homolog 5 OS=Naja atra OX=8656 PE=3 SV=1,Cytotoxin homolog 5 ,3FTx,Naja atra ,Elapidae
AAAAAAABAC,391sp|Q911,sp|Q91126|3SOFA_NAJAT Cardiotoxin 7a OS=Naja atra OX=8656 PE=3 SV=1,Cardiotoxin 7a ,3FTx,Naja atra ,Elapidae
AAAAAAABAD,393sp|P623,sp|P62375|3SOF5_NAJAT Cytotoxin A5 OS=Naja atra OX=8656 PE=1 SV=1,Cytotoxin A5 ,3FTx,Naja atra ,Elapidae
